name
Alien Biotech
Alien Encryption
Resistance Communications
Resistance Radio
Psionics
Hybrid Materials
Plated Armor
Modular Weapons
Magnetic Weapons
Gauss Weapons
Elerium
Powered Armor
Plasma Rifle
Storm Gun
Beam Cannon
Plasma Lance
Experimental Weapons
Assassin Weapons
Hunter Weapons
Warlock Weapon
ADVENT Datapad Decryption
Alien Data Cache Decryption
Facility Lead
ADVENT Officer Autopsy
ADVENT MEC Breakdown
ADVENT Turret Breakdown
ADVENT Priest Autopsy
ADVENT Purifier Autopsy
ADVENT Shieldbearer Autopsy
ADVENT Stun Lancer Autopsy
ADVENT Trooper Autopsy
The Lost Autopsy
Sectoid Autopsy
Faceless Autopsy
Chryssalid Autopsy
Viper Autopsy
Muton Autopsy
Berserker Autopsy
Archon Autopsy
Spectre Autopsy
Andromedon Autopsy
Sectopod Breakdown
Gatekeeper Autopsy
Viper King Autopsy
Berserker Queen Autopsy
Archon King Autopsy
